source_text,target_loinc
"lymphocytes, percent blood",26478-8
"lymphocytes, quan percent bld",26478-8
"lyhocyes, lood prent",26478-8
"white blood cells blood percen lymhoytes,",26478-8
"lymphocytes, percent leuk blood",26478-8
"hcg, urine, qualitative urine",2106-3
"hcg, urin, qualiative urie chorionic gonadotropin",2106-3
"ualitative hcg,urin, urine",2106-3
"qualitative obstetrics urin, hcg, uri",2106-3
"hcg, uie, qualiaive urine",2106-3
cd71 other body fluid,57426-9
cd71 other body fuid,57426-9
cd71 other fluid body,57426-9
cd71 otherbody luid,57426-9
body other cd71 fluid,57426-9
hemoglobin blood,718-7
hmogobinloo,718-7
bld quan hemoglobin,718-7
hemoglobin blood whole blood,718-7
blood hemolobin,718-7
"albumin/creatinine, urine urine",14958-3
"urine albumin/creatinine, urine",14958-3
"albuin/creatinin, urine alb rine",14958-3
"albumin/creatinine, urine renal urine",14958-3
"albumin/creatinine, urine urine levo",14958-3
d-dimer blood,48065-7
blood d-dimer,48065-7
blood d-dimer,48065-7
blood d-dimer,48065-7
blood d-dimer,48065-7
transitional epithelial cells urine,30089-7
cell epihelial transitional urine,30089-7
transitional cells epithelial urine,30089-7
urine epithelial cells transitional,30089-7
urine epithll cells transiiona,30089-7
cd71 blood,8136-4
blood cd71,8136-4
blood cd71,8136-4
d71 blood,8136-4
cd71 blood,8136-4
nitrite urine,5802-4
urine nitrite,5802-4
nitrite urin,5802-4
urine nitrite,5802-4
urine nitrite,5802-4
gastrin blood,2333-3
gastri loo,2333-3
blood gastrin,2333-3
gastrin lood,2333-3
qnt gastrin blood,2333-3
"phosphate, body fluid other body fluid",12242-4
"phosphate, bdy fluid other body fuid",12242-4
"phosphate, fluid body other body fluid",12242-4
"phosphate, body fluid other body fluid",12242-4
"phosphate, fluid fluid other body body",12242-4
"bicarbonate, other fluid other body fluid",11211-0
bicarbote othe fluidotherbo fl luid,11211-0
"flui other bicarbonate, oheody lui",11211-0
"bicarbonate, other fluid other body fluid",11211-0
"bicarbonate, other fluid other body fluid",11211-0
"rbc, ascites ascites",26457-2
"ascites rbc, ascites prt",26457-2
"red blood corpusles ascitesascites rbc,",26457-2
"asciesascites ct rbc,",26457-2
"ascites rbc, ascites quantitative",26457-2
albumin blood,1751-7
blood albumin,1751-7
plsm blood albumin,1751-7
serp albumin blood,1751-7
blood albumin,1751-7
acanthocytes blood,7789-1
bood acanthocytes,7789-1
bloo acanhocytes,7789-1
blood acanthocyes qual,7789-1
random acanthocytes bld,7789-1
phosphate blood,2777-1
blood phosphate,2777-1
phosphorous phospate blood,2777-1
blood phosphate,2777-1
blood pi phosphate,2777-1
renal epithelial cells urine,26052-1
renal urine cells epithelial,26052-1
epithelial renal cells urine,26052-1
enal cell epithelial urine,26052-1
enal cellsurine epithelial,26052-1
"bicarbonate, stool stool",14040-0
"bicarbonate, co2ct stool stool",14040-0
"bicarbonate, faeces stool stool",14040-0
"stool stool substance concentration bicarbonate,",14040-0
"bicarbonate, stool stool",14040-0
% hemoglobin a1c blood,4548-4
% hemoglobin a1c tot bld,4548-4
point in time % blood a1c hemoglobin,4548-4
% hmoglobin a1cblod,4548-4
hemogobin blood a1c,4548-4
"creatine kinase, mb isoenzyme blood",6773-6
"creatine elfa kinase, mb isoenzyme bld",6773-6
isoenzyme knase m creane bloo,6773-6
"creatine kinae, mb serp isoenymeblood",6773-6
"creatine isoenzymblood mb kinase,",6773-6
hypersegmented neutrophils cerebrospinal fluid (csf),26506-6
neutrophil hypersegmented neutrophils cerebrospinal fluid (csf),26506-6
hyersegmeted wbc neutrophils cererospial flui (sf,26506-6
hypersegmented neutrophils leuk cerebrospinal fluid (csf),26506-6
hyprsegmented flid netphilscrebrosinal random (cf),26506-6
"osmolality, ascites ascites",2691-4
"random molality, ascite ascites",2691-4
"osmolality, ascites ascites qnt",2691-4
"ascites smlality,scites",2691-4
"osmolality, ascites ascites",2691-4
nonsquamous epithelial cell urine,41284-1
nonsquamous urine cell epithelial,41284-1
nonsquamouepithelial cell urine,41284-1
cell nnsquaousepithelial urine,41284-1
epithelial nonsquamous cell urine,41284-1
hemoglobin a2 blood,4552-6
hemoglobin a2 elect bld,4552-6
hemoglobin a2 blood,4552-6
bld a2 hmoglobin,4552-6
hemoglobin a2 blood,4552-6
eosinophils urine,25156-1
urine eosinophils,25156-1
urine eosinophils,25156-1
urine eosinophils,25156-1
urine eosinophl,25156-1
non-squamous epithelial cells urine,41284-1
non-squamous urine cells epithelial,41284-1
urine epithelial cells non-squamous,41284-1
cells epithelial non-squaous rine,41284-1
non-squamo epithelial cells urine,41284-1
cd8 other body fluid,17824-4
8 other bod flid,17824-4
cd8 other bodyfuid,17824-4
cd8oter body fluid,17824-4
cd8 other fluid body,17824-4
"amylase, ascites ascites",1797-0
"amylas, ascits k87 acies",1797-0
"amylase, ascitis ascites ascites",1797-0
"mylas, ascites asites peritoneal fluid",1797-0
"ascites ascites amylase, quantitative",1797-0
anti-thyroglobulin antibodies blood,5380-1
anti-thyroglobulin blood antibodies,5380-1
blood antibodies anti-thyroglobulin,5380-1
antibodes anti-thyrogloblin blod,5380-1
antibodies antithyroglobulin antby bloo,5380-1
acid phosphatase blood,1715-2
acid phosphtase phosphatase blood,1715-2
cd bld phospatase quantitative,1715-2
quan acid blood phosphatase,1715-2
aci blood phosphatas,1715-2
bilirubin urine,5770-3
urine bilirubin,5770-3
urine bilirubin,5770-3
bilrubin rine,5770-3
blirbin uine,5770-3
"rbc, csf cerebrospinal fluid (csf)",26454-9
"ceebrospinlluid(csf) cf absolutes rbc,",26454-9
"rbc,csf cerebrspinal fluid spinal fld (csf)",26454-9
"luid csf cerebrospnal rb, (csf)",26454-9
"rbc, flid cerebrospna csf cs)",26454-9
cd20 other body fluid,57418-6
cd20 fluid body other,57418-6
cd20oter ody flui,57418-6
cd20 fluid body other,57418-6
boy other d20 fluid,57418-6
globulin blood,2336-6
glob blod lobui,2336-6
gobulin blood,2336-6
globulin blood chemistry,2336-6
globuli blood,2336-6
sugar water test blood,12260-6
ugar pnh water test blod,12260-6
ql sugar ater test blod,12260-6
ugar tstblood watr,12260-6
test water sugar blood,12260-6
quantitative g6pd blood,32546-4
quantiatve g6pd gpd blood,32546-4
quantitative g6pd blood,32546-4
g6pd quantitative blood,32546-4
qanitative g6pd bld,32546-4
bands cerebrospinal fluid (csf),26509-0
bands cerebrospinal cerebral spinal fluid fluid (cf),26509-0
bands bands fluid cerebrospinal (cerebrospinal fluid),26509-0
bands cerebrospinal fluid (csf) n-band,26509-0
bands cerebrospinal (csf) fluid,26509-0
lipase blood,3040-3
quantitative blood lipase,3040-3
lipase blood sr,3040-3
blood lipase tributyrinase,3040-3
bld pancreatic lipase liase,3040-3
pg other body fluid,48785-0
pg other body fluid fluid,48785-0
pg other boy point in time fluid,48785-0
pg other by fluid flu,48785-0
pg other pg body fluid,48785-0
macroovalocytes blood,10376-2
blood macroovalocytes,10376-2
macroovalocytes bld,10376-2
blood macroovalocytes,10376-2
bld loo macroovaocytes,10376-2
mchc blood,786-4
hgb boo mc,786-4
mchc blood,786-4
mchc bld,786-4
blood mchc,786-4
von willebrand factor antigen blood,6012-9
von willebran factorantigeblood,6012-9
von willebrnd blod antin facr,6012-9
von willebrand blood antigen factor,6012-9
von factor willebrand antigen blood,6012-9
ck-mb index blood,20569-0
ck-mb ser index blood,20569-0
blood quan c-mbindex,20569-0
bood k-mbindex point in time,20569-0
index ck-mb blood,20569-0
"bicarbonate, urine urine",1964-6
urine bicaronae urie,1964-6
"urine bicarbonat, urine",1964-6
"urine bicarbonate, urine",1964-6
"urine bicarbonate, urine level",1964-6
"anti-nuclear antibody, titer blood",8061-4
"antibod, anti-nucear tier aby blood",8061-4
"qual anti-uclear antiby, titer blod",8061-4
"blod antiod, titer autoantibody anti-nuclear",8061-4
"blood antibody, titer nt-nuclear",8061-4
urea nitrogen blood,3094-0
nitrogen urea blood serp,3094-0
blood nitrogen urea,3094-0
uea un nitrogen bld,3094-0
urea nitrogen blood,3094-0
"potassium, urine urine",2828-2
"urine ur urine potassium,",2828-2
"universallaborders potassum, urie urin",2828-2
"point in time potasium, urine urine",2828-2
"potassium, urine potass urine",2828-2
sodium blood,2951-2
serp blood sodum,2951-2
sodium blood quantitative,2951-2
bloo na sodium,2951-2
lood sodium qnt,2951-2
atypical lymphocytes blood,733-6
atpical lymphocytes bld ordinal,733-6
atypicallymphocytes blood,733-6
atypical lympocytesblood,733-6
lympoytes atypical reactive lymphocytes blod,733-6
bicarbonate blood,1963-8
lood bicabonate,1963-8
bld bicarbonate,1963-8
bicaroate bood,1963-8
blood bicarbonate,1963-8
sedimentation rate blood,4537-7
rate sedimentation bld,4537-7
rate sedimentation blood,4537-7
bld sedimentationrte,4537-7
red bld corpusles sedimentation rate bld,4537-7
tricyclic antidepressant screen blood,4073-3
tricyclic blood screen antidepressant,4073-3
tricyclic screen antidepressant blood,4073-3
tricyclic antiepresant scree qualitative blod,4073-3
screen antidepressant tricyclic blood,4073-3
barbiturate screen blood,3376-1
scren barbiturate bld,3376-1
serplbld barbitrae sceen blod,3376-1
screen barbiturate bld,3376-1
barbiturate blood ql screen,3376-1
"lactate dehydrogenase, ascites ascites",2531-2
"lactate dehydrogenase, ascites l.d.h ascites",2531-2
"l-lactate lactate dehydrogenase, ascites ascites",2531-2
"lactate dehydrogenase, ascites ascites",2531-2
"lactat ascitic fluid dehydrogenae, ascits asites",2531-2
urobilinogen urine,5818-0
urine urbilinoen urn,5818-0
urobilinogen urobili urine,5818-0
ordinal urine urobilinogen,5818-0
urobilinogen urine,5818-0
"magnesium, urine urine",2598-1
magesim urineurine magnes,2598-1
"magnesiu, urineurine random",2598-1
"magnesium, urine urine",2598-1
"urine ur magnesium, urine",2598-1
factor vii blood,3198-9
facto blood vii,3198-9
vii factor blood,3198-9
blood vii factor,3198-9
aco vii blood,3198-9
fluid type other body fluid,14725-6
flui type oher body flud,14725-6
body tp other fluid fluid,14725-6
fluid type other body fluid,14725-6
fluid body other type fluid,14725-6
amylase blood,1798-8
amylase bld pl,1798-8
amylase blood,1798-8
blood qnt amylase,1798-8
blood aylase,1798-8
"glucose, urine urine",2350-7
"quantitative glucose, urine urine",2350-7
"glucose, random urine urine",2350-7
"pt glucose, urine urine",2350-7
"gluc uin glucose,uine",2350-7
blood urine,5794-3
urine blood,5794-3
urine blood,5794-3
blood rine,5794-3
urine blood,5794-3
"thyroxine (t4), free blood",3024-7
"thyoxine4), free blood",3024-7
"blood (t4), free thyroxine",3024-7
"throxin t4), ree blood",3024-7
"blood (t4), free thyroxine",3024-7
"anti-gliadin antibody, iga blood",7893-1
"blood antibody, iga anti-gliadin",7893-1
anti-gliadin antibody iga bloo,7893-1
"blood antbody, iga anti-gliadi",7893-1
"blood antibody, iga anti-gliadin",7893-1
tyrosine crystals urine,5815-6
rosine ystals urine,5815-6
tyrosine urine crystals,5815-6
tyrosine crysals urine,5815-6
urine crystals tyrosine,5815-6
base excess blood,11555-0
base quan blood excess,11555-0
blood excess base wb,11555-0
blood excess base,11555-0
blood excess base substance concentration,11555-0
"ethanol, urine urine",5644-0
"ethanol, urine urine pr",5644-0
"point in time ethanol, uine urine",5644-0
"urine etoh ethanol, urine",5644-0
ethanol uine uie,5644-0
large platelets blood,34167-7
lar patelts hematology/cell counts lood,34167-7
lood qual platlets larg,34167-7
large blood platelets,34167-7
large blood platelets,34167-7
ammonia blood,16362-6
bld ammona universallaborders,16362-6
hepatology ammonia bld,16362-6
ammonia bld,16362-6
bld ammonia quant,16362-6
lactate dehydrogenase (ld) blood,2532-0
blood dehydrogenase (ld) lactate,2532-0
lactatedeydognase (ld) blood,2532-0
lactate dehydrogenase (ld) bld,2532-0
lactate dehydrogenase (ld) blood chemistry,2532-0
"cholesterol, pleural pleural",9618-0
holesterol pleural pleural,9618-0
"cholesterol, eur plural",9618-0
choleteol pleural pleural pulmonology,9618-0
"coetrl, pleural pleural",9618-0
"cholesterol, body fluid other body fluid",12183-0
"cholesterol, fluid bdy oth body fluid",12183-0
"cholesterol, body fluid other body fluid",12183-0
"bod fluid body cholesterol, other body fluid",12183-0
"choleseol, body fuidother boy flid",12183-0
cd3 other body fluid,17826-9
fluid other body cd3,17826-9
cd bdy other luid,17826-9
body otr cd3 fluid,17826-9
cd3 fluid body other,17826-9
cd138 other body fluid,42871-4
fluid other body cd138,42871-4
fluid other body cd138,42871-4
c138 body other fluid,42871-4
fluid other bdy cd138,42871-4
marijuana urine,3427-2
urine marijuana,3427-2
addiction urine marijuana,3427-2
urine marijuana illicit,3427-2
marijuana pt urine,3427-2
hepatitis b surface antibody blood,5193-8
hepatitis surface antibody lood hbsab,5193-8
hepatitis b hbv surface surface antibody blood,5193-8
hepatitis b blood antibody surface,5193-8
surf hpatits b surface antibody blood,5193-8
glucose urine,5792-7
urine glucose,5792-7
glcose rne,5792-7
urine glucose,5792-7
urine glucose,5792-7
ph urine,5803-2
urine ph,5803-2
urine ph,5803-2
urn ph,5803-2
ph urine,5803-2
lymphocytes other body fluid,11031-2
lymphocytes body other fluid bf,11031-2
