source_text,target_loinc
calculated free testosterone blood,2991-8
calculated free blood testosterone,2991-8
free calculated testosterone bld,2991-8
clclaed free testoserone blood,2991-8
free caculated testosteroe bld,2991-8
"amylase, pleural pleural",1796-2
"pleural amylase, pleural pleural",1796-2
"pleural pleural amylase, alpha amylase",1796-2
"ural amyase,pleural pulmonary",1796-2
"mylae,pleural pleural",1796-2
nrbc cerebrospinal fluid (csf),48778-5
fluid cerebrospinal nrbc (cerebrospinal fluid),48778-5
nrbc fluid cerebrospinal (csf) quan,48778-5
nrbc csf (csf),48778-5
nrbc cererspinal flid (csf),48778-5
cd64 blood,17183-5
cd64 blood,17183-5
blood cd64,17183-5
blood cd64,17183-5
blood cd64,17183-5
mcv blood,787-2
qnt mcv bld,787-2
mcv blood erythrocytes,787-2
lod cv elec,787-2
mc bld,787-2
cd41 other body fluid,51320-0
cd41 fluid body other,51320-0
cd41 other fluid body,51320-0
c1 othr bo lud,51320-0
fluid other body cd41,51320-0
magnesium blood,2601-3
magnesium blood,2601-3
bld gnesim,2601-3
blood magnesium ser,2601-3
magnesium blood,2601-3
mch blood,785-6
blood mch,785-6
blood mch,785-6
blod mch,785-6
blood mch,785-6
eosinophil count blood,26449-9
blood count eosinophil,26449-9
esinopil countblood,26449-9
count eosinophil blood,26449-9
eosiophil ount blood quan,26449-9
testosterone blood,2986-8
blood teststerone,2986-8
testosterone blod quantitative,2986-8
level teststeroneblood,2986-8
blood testosterone,2986-8
non-squamous epithelial cells urine,41284-1
non-squamous pithelial urine cells,41284-1
urie epitheia cells on-squamous,41284-1
non-squamous epithelial urine cells,41284-1
non-squamous cells epithelial urine,41284-1
"albumin, ascites ascites",1749-1
"asites mass concentration albumin,ascites",1749-1
"ascites quan ascites albumin,",1749-1
"ascites albumin, ascites",1749-1
"ascitis albumn, aitesascits",1749-1
cd16 blood,8115-8
blood cd16,8115-8
blood cd16,8115-8
cd6blood,8115-8
blood cd16,8115-8
"wbc, other fluid other body fluid",26466-3
"wbc, other fluid other body fluid body lui",26466-3
"wbc, other fluid other bodies body fluid",26466-3
"wbc,the fud body othr flud",26466-3
"wbc, body fluidother oth flid white blood cells",26466-3
sugar water test blood,12260-6
sugar red blood corpusles water test blood,12260-6
sugar water test blood red blood cells,12260-6
sugar water t bood random,12260-6
test water sugar blood,12260-6
bands blood,763-3
blood count/volume bands,763-3
blood bands,763-3
blood bands,763-3
blood bands,763-3
macrophage ascites,40517-5
ascites macrophage macrphg,40517-5
ascites macrophage,40517-5
ascits quan macrophae,40517-5
ascites macrophage,40517-5
"lymphocytes, percent blood",26478-8
"lymphocytes, blood percent",26478-8
lymphoctes percent blood,26478-8
"percent lymphocytes, blood",26478-8
"blood percent lmphocytes,",26478-8
"creatinine, body fluid other body fluid",12190-5
"creatinine, oy renal other fluid boy fluid",12190-5
"universallaborders creatinine, body fluid other body fluid",12190-5
"fluid body fli other body creaiine, fluid",12190-5
"creatinine, body fluid random other body fluid",12190-5
factor xii blood,3232-6
xiiblod factor,3232-6
xii factor blood,3232-6
factor blood xii,3232-6
blood xii factor,3232-6
plasma other body fluid,17803-8
plasma other body fluid white blood cells,17803-8
plasma leuk other body fluid,17803-8
pasma oterbody flui number fraction,17803-8
plasma oter body lui,17803-8
"magnesium, urine urine",2598-1
"magnesim, urine uine",2598-1
"magnesium, urine urine",2598-1
"mg magnesium, urine urine",2598-1
"urine urine magnesium, quantitative",2598-1
mesothelial cells cerebrospinal fluid (csf),30429-5
sotheialcels cerebrospinal fluid (csf),30429-5
quantitative mesothelial cells cerebrospinal (cerebrospinal fluid) fluid,30429-5
mesothelial (cs) ceebrospinal fluid cels,30429-5
mesothelial cerebrospinal cells hematology/cell counts fluid (csf),30429-5
cd71 other body fluid,57426-9
fluid cd71otherbody,57426-9
other cd71 body fluid,57426-9
other cd71 body fluid,57426-9
fluid other body cd71,57426-9
hepatitis a virus antibody blood,5183-9
irus a heptitis antibody blod,5183-9
hpatitisa virus atbody point in time lood,5183-9
hepatitis a virus blood antibody,5183-9
hepatitis a virus antibody blood suds,5183-9
d-dimer blood,48065-7
blood d-dimer,48065-7
blood d-dimer,48065-7
blod dimer,48065-7
blood d-dimr,48065-7
cd11c bone marrow,33202-3
cd11c bone mrro,33202-3
cd11c be mrow,33202-3
marrow bone cd11c,33202-3
bone cd11c marrow,33202-3
bands other body fluid,26510-8
other neutr bands body fluid,26510-8
neutrophil bands other body fluid,26510-8
other bands body fluid bf,26510-8
bands fluid body other,26510-8
24 hr creatinine urine,2162-6
24 qnt creatinine hr urine,2162-6
24 1 day hr creatinine urine,2162-6
4 creaninurie r,2162-6
24 hr urine creatinine,2162-6
bite cells blood,10371-3
hematology/cell counts bite cellsblood,10371-3
bitecells blod,10371-3
whole bld bite cllsblood,10371-3
qual bite bld cells,10371-3
oxygen saturation blood,20564-1
pulmonology blood oygensatuation,20564-1
oxygen blood qnt saturation,20564-1
bld oygeaturaton,20564-1
quantitative oxygen saturation blood,20564-1
bleeding time blood,11067-6
bleeding blood time,11067-6
time bleeding blood,11067-6
bleeding loo time,11067-6
bleeding blood time,11067-6
hemogloblin a blood,10346-5
hemoglobin bloo haemoglobin a,10346-5
hemogloblin blood a,10346-5
hemoglblin a blood,10346-5
emogloblin blood a,10346-5
hepatitis b surface antibody blood,5193-8
hepatitis b surface antibody blood serum or plasma,5193-8
heaitis b blod antbody surfae antibodies,5193-8
hpaitis b surfaceantbod lood,5193-8
heptiti b urface antibody serplas blod,5193-8
cd11c other body fluid,51232-7
fui other body c1c,51232-7
cd11cotherbody fluid,51232-7
body other cd11c fluid,51232-7
cd11c her body fluid,51232-7
fmc-7 blood,17220-5
bloo fc-7,17220-5
blood fmc-7,17220-5
lood fm-7,17220-5
fmc-7 bloo,17220-5
hemogloblin s blood,4622-7
s hemogloblin blood,4622-7
hemogloblin s bloo,4622-7
hemogloblin blood s,4622-7
electr hemgoblin s blood,4622-7
alveolar-arterial gradient blood,19991-9
blod alveolar-arteriagradient,19991-9
blood gradient alveolar-arterial,19991-9
alvolar-arterial gadintblood,19991-9
blood gradient alveolar-arterial,19991-9
cd8 bone marrow,51372-1
cd8 bne marrow,51372-1
cd8 bone marrow,51372-1
cd8 bone marow,51372-1
bone cd8 marrow,51372-1
eosinophils joint fluid,17834-3
white blood cell eosinopils joint fluid,17834-3
joint eosnophls flui,17834-3
fluid joint eosinophils percent,17834-3
eosinophils jont flud,17834-3
wbc casts urine,5820-6
wc casts urine,5820-6
casts wbc urine,5820-6
wb casts uine,5820-6
wbc urine casts,5820-6
"blood, occult stool",2335-8
"occult blood, pr stool",2335-8
"lood,occult sool bowel movement",2335-8
"blood, occult stol qual",2335-8
ood ocult hgb stool,2335-8
basophils other body fluid,28543-7
white blood cell basohils other ody lid,28543-7
asophils other oy fluid,28543-7
bsophil other bod fluid fl,28543-7
basopilsother ody uid basophil,28543-7
mesothelial cell ascites,30432-9
mesothelialcel ascites,30432-9
mesthlia mesothl cell ascites,30432-9
esothlial cll ascite,30432-9
cell mesothelial ascites,30432-9
urine color urine,5778-6
urine urinecolor,5778-6
urine color urine,5778-6
urine color urine,5778-6
urine urine color,5778-6
estradiol blood,2243-4
blood estradiol gyn,2243-4
estradiol level blood,2243-4
bld estradiol,2243-4
blood estraiol,2243-4
serum viscosity blood,3128-6
serum blood viscosity,3128-6
erum blood viscosity,3128-6
erum vosity blood,3128-6
viscosity serum blood,3128-6
"chloride, body fluid other body fluid",2072-7
"chloride, body fluid other body fluid",2072-7
"chloride, body fluid other body fluid",2072-7
"other body fluid chloride, body fluid",2072-7
"chloride, body fluid flu fluid body other",2072-7
"phosphate, urine urine",2778-9
"phosphate, urine urine",2778-9
"phoshate, uine urine",2778-9
"phosphate, urne inorganic phosphate urine",2778-9
"urine phosphate, qnt urin",2778-9
monos pleural,33362-5
pleural monos white blood cell,33362-5
pleural monos,33362-5
pleural monos,33362-5
monos pleural,33362-5
cd56 blood,8133-1
blod cd56,8133-1
blood cd56,8133-1
cd56 blood,8133-1
blood cd56,8133-1
"pco2, body fluid other body fluid",2023-0
"pco2, fluid fluid other body body",2023-0
pco2 body fluid oher body fud,2023-0
"pco2, boy flud other body fluid",2023-0
"flud body fluid oter body point in time pco2,",2023-0
cd55 blood,17175-1
blod cd55,17175-1
boo cd55,17175-1
blood cd55,17175-1
cd55 blood,17175-1
eosinophils pleural,30379-2
leural eosinphils thoracentesis fluid,30379-2
eosiophilspleural white blood cell,30379-2
pleural eosinopl hematology/cell counts,30379-2
eosinophils pleural point in time,30379-2
procainamide blood,3982-6
blood procainamide,3982-6
drug/toxicology blood procainamide,3982-6
procainamide bloo pa,3982-6
ood quant procainamid,3982-6
"rbc, ascites ascites",26457-2
"rbc, red blood cell ascites scits",26457-2
"sctesscites rb,",26457-2
"ascites ascites count/volume rbc,",26457-2
"asites red blood cells ascites rc,",26457-2
cd56 other body fluid,57424-4
other cd56 body fluid,57424-4
c5 other fluid body,57424-4
cd56 fluid body other,57424-4
c56 other body fluid,57424-4
hyaline casts urine,5796-8
urine casts hyaline,5796-8
hyalie urie cts,5796-8
urine hyaliecass,5796-8
urine cast hyaline,5796-8
urine mucous urine,8247-9
urine ucous urine,8247-9
urine ucous urine,8247-9
urin muous urine,8247-9
urine mucous urine,8247-9
"anti-nuclear antibody, titer blood",8061-4
"anti-nuclear antibody, titer blood",8061-4
"anti-nuclear anf antibody, titer blod",8061-4
"ant-nuclearantibody, tite bld",8061-4
"anti-nucearntiody, titer blood",8061-4
thyroid stimulating hormone blood,3016-3
thyod stimulain hormone quan blood,3016-3
thyrotropic hormone hormonebloo stimulating throid,3016-3
hormone stimulang thyrod blood,3016-3
stimulain hrid hormone blood,3016-3
hematocrit urine,17809-5
hmatocriturin random,17809-5
erythrocytes hematocrit urine,17809-5
erythrocytes urin hematocrit,17809-5
urine hematocrit,17809-5
lymphocytes joint fluid,26483-8
lymphs luid join lmphocytes,26483-8
fuid oit lymphocytes,26483-8
lymphocytes fluid joint,26483-8
fluid quan lymphcytesjoint,26483-8
"chloride, stool stool",15158-9
chloride stostool,15158-9
"stol fecal chlre, sool",15158-9
"chloride, stool stool",15158-9
"stool chloride, stool",15158-9
promyelocytes blood,781-5
blood quantitative promyelocytes,781-5
blood promyelocytes,781-5
promyelocytes bld cnt,781-5
bld bld promyelocytes,781-5
"cd4 cells, percent blood",8127-3
"blood cells, percent cd4",8127-3
"cells, cd4 percent blood",8127-3
"cd4 percent cells, blood",8127-3
"d4 cels, percnt blood",8127-3
"cholesterol, ldl, measured blood",18262-6
"cholesterl, blood easure ldl,",18262-6
"cholesterol, lipid ldl, measured blood",18262-6
"measured ldl, cholesterol, blood",18262-6
"cholesterol, ldl, measured blood",18262-6
reptilase time blood,6683-7
reptilasetimeblood,6683-7
time reptilase blood,6683-7
reptilase time blood,6683-7
reptilase timebloo,6683-7
renal epithelial cells urine,26052-1
renal epithelial urine cells,26052-1
epithelial renal cellsurine,26052-1
renal epithelial urine cells,26052-1
cells epithelial renal urine,26052-1
eosinophils cerebrospinal fluid (csf),26451-5
eosinophils csf (csf),26451-5
esinophils cererospinal spinal fluid flid (cf),26451-5
eosinophils (csf) fluid cerebrospinal,26451-5
eosinophils cerebrosinal fluid (csf),26451-5
hla-dr bone marrow,51380-4
hla-dr aow bone,51380-4
marrow bone hla-dr,51380-4
aow one hla-dr,51380-4
la-dr bne marrow,51380-4
hepatitis b virus core antibody blood,5187-0
hepatitis b antibody core virus blood,5187-0
heptitis b vrus ore antibodylood,5187-0
hpatitis core vrus antibodyblod,5187-0
epatitis b virs blod coeantibody,5187-0
troponin i blood,10839-9
blood sr tropoin,10839-9
blood i troponin,10839-9
pt troponin i blood,10839-9
level tropnin ibood,10839-9
polys pleural,26519-9
grans pleural polys,26519-9
poys thoracentesis fluid pleura,26519-9
polys percent pleural,26519-9
pols qnt pleural,26519-9
ethanol blood,5642-4
blood ethanol,5642-4
bld tanol alcohol,5642-4
blood ethanol,5642-4
ethanolblod plsm,5642-4
"cholesterol, total blood",2093-3
"cholesterol, total bld",2093-3
"blood total cholesterol, lipid",2093-3
"cholesterol, serplas total blood",2093-3
"total cholesterol, pl bld",2093-3
"potassium, ascites ascites",49789-1
"ascites potassium, ascites ascitic fluid",49789-1
poassium astes ascites potass,49789-1
"potassum, ascis asies point in time",49789-1
"ascites potassium, ascites",49789-1
estimated gfr (mdrd equation) blood,33914-3
gfr estimated (mdrd equation bood,33914-3
estimated equation) (mdrd gfr bld,33914-3
bloo gfr (mdrd eqution) estimated,33914-3
estimated gfr point in time (mdrd equation) bld,33914-3
urobilinogen urine,5818-0
urine urobilinogen,5818-0
urine urobilinogen,5818-0
urobilinogen urine,5818-0
chemistry rine urobilinogen,5818-0
waxy casts urine,5819-8
castsurne waxy,5819-8
casts waxy urine,5819-8
casts waxy urine,5819-8
casts wx une,5819-8
cd103 bone marrow,51221-0
cd103 marrow bone,51221-0
bone cd103 marrow,51221-0
bone cd103 marro,51221-0
marrow bne cd103,51221-0
cd8 other body fluid,17824-4
bod 8other lui,17824-4
cd8 other fluid body,17824-4
body other cd8 fluid,17824-4
d8 other bdy fui,17824-4
sperm urine,8248-7
urine sperm,8248-7
rine sprm,8248-7
urie sperm,8248-7
rine sperm,8248-7
fluid type other body fluid,14725-6
other type fluid body fluid,14725-6
othe fluidye body fluid,14725-6
fluid type other fluid body,14725-6
fluid tpe othe body fluid,14725-6
"sodium, urine urine",2955-3
"quantitative sodium, urine urine",2955-3
"urine urine sodium,",2955-3
"urine sodium, urine",2955-3
urie urine sodium,2955-3
cd117 blood,17107-4
cd117 blood,17107-4
blood cd117,17107-4
blood cd117,17107-4
blood cd117,17107-4
pencil cells blood,10377-0
pencil lls blood,10377-0
pencil cells blood,10377-0
cels pencil blood cell,10377-0
blod cells peil,10377-0
cd23 other body fluid,51269-9
cd23 ther body fluid,51269-9
cd23 luid ody oher,51269-9
cd23 othe body fluid,51269-9
ter cd3 dyfluid,51269-9
iron blood,2498-4
ronblood,2498-4
quant irnblod,2498-4
iron blood,2498-4
iron blod,2498-4
eosinophils ascites,30380-0
cies oiophils,30380-0
ascites eosinophils,30380-0
eosinophils ascites,30380-0
ascites eoinophils,30380-0
platelet smear blood,778-1
smear platelet blood count,778-1
platelet smear bld,778-1
patele smear ct blood,778-1
smear platelet blood,778-1
"chloride, urine urine",2078-4
"urine chloride, urine",2078-4
"substance concentration chlorde, urine rine",2078-4
"chlorid, urne urne",2078-4
"hlrie, urinerine",2078-4
wright giemsa bone marrow,10355-6
wright giemsa bone marrow,10355-6
wrigt giemsa wrights boe arrow,10355-6
wright giemsa bone marrow,10355-6
wright bone iesa marrow,10355-6
ck-mb index blood,20569-0
ck-mb index blood plsm,20569-0
ck-mb blood index,20569-0
ck-mb chemistry bld index,20569-0
k-mb blood index,20569-0
glucose blood,2339-0
bld level glucose,2339-0
glucose bld gluc,2339-0
glucose blood,2339-0
point in time glucose bld,2339-0
methemoglobin blood,2614-6
blood methemoglobin,2614-6
blood metheoglbin,2614-6
bood methemolbin,2614-6
blood methemglobin,2614-6
absolute a1c blood,4548-4
abolue tot blood a1c,4548-4
a1c olte bld,4548-4
a1c absolute blood,4548-4
absolute a1c blood,4548-4
absolute cd3 count blood,8124-0
blod cd3 count abolut,8124-0
absolute count cd3 blood,8124-0
blood cd3 count absolute,8124-0
absolute cd3 blood count,8124-0
hemosiderin urine,4644-1
urine hemosiderin,4644-1
urne heoidri,4644-1
urine hemosiderin,4644-1
hemsidern urine,4644-1
hemoglobin blood,718-7
bld hemoglobin,718-7
hemoglobin wb bood,718-7
heoglbin blood,718-7
haemoglobin blood hemoglobin,718-7
anti-parietal cell antibody blood,26969-6
antibodies anti-parietal blood antibody cell,26969-6
anti-parietal cell atibody bood,26969-6
blood cell antibody anti-parietal antby,26969-6
anti-parietal cell blood antibody,26969-6
"bilirubin, total, csf cerebrospinal fluid (csf)",1973-7
"bilirubin, total, csf cerebrospinal fluid quan (csf)",1973-7
"bilirubin, total, csf csf spinal fluid (csf)",1973-7
"bilirubin, total, (csf) cerebrospinal fluid csf",1973-7
"bilrbin, total sf cerebrospinal fluid cerebrospinal fl csf)",1973-7
granulocyte count blood,30394-1
count granulocyte blood,30394-1
granulocyte cont blood,30394-1
grnulocyte count blood,30394-1
granulocyte count bld,30394-1
cd55 bone marrow,51344-0
marrow bone cd55,51344-0
cd55 marrow bone,51344-0
c55 bone marow,51344-0
marrow boe cd55,51344-0
basophils pleural,35070-2
basophils basophil pleual,35070-2
pleural basophils,35070-2
pleural basopils,35070-2
basophils leuk pleural,35070-2
"phenytoin, free blood",3969-3
"blood free phenytoin,",3969-3
"blood free phenytoin,",3969-3
"phenytoin, ree blod",3969-3
"phenytoin, free serp blood",3969-3
c4 blood,4498-2
complmt c4 blod,4498-2
blood serpl c4,4498-2
c4 blood,4498-2
c4 blood,4498-2
nonsquamous epithelial cell urine,41284-1
nonsquamous epithelial urine cell,41284-1
nonsqumos epithelal cll urie,41284-1
epithelial nonsquamous cell urine,41284-1
epithelial nonsquamous cell urine,41284-1
"wbc, ascites ascites",26468-9
"wbc, ascites ct ascites",26468-9
"qnt wbc, ascites ascites",26468-9
"wbc, ascites ascites",26468-9
"ascites wc, quan ascits",26468-9
target cells blood,10381-2
target random cells bld,10381-2
target lood clls,10381-2
cell cels targt blood,10381-2
trgetcellslood,10381-2
macroovalocytes blood,10376-2
blood macroovalocytes,10376-2
macroovalocytes micro blood,10376-2
blood blood macroovalocytes,10376-2
blood macrooaloctes,10376-2
anti-mc blood,32042-4
anti-mc bld point in time,32042-4
anti-mcblood plsm,32042-4
lood screen anti-mc,32042-4
ql anti-mc blood,32042-4
"lactate dehydrogenase, pleural pleural",2530-4
"catalytic concentration lactate pleural dehydrogenase, pleural",2530-4
"lactate dehydrogenase, pleura quan pleural",2530-4
"lactte dehydrogenase, leurl pleural l.d.h",2530-4
"dhydrogenase, lactae pleural plural",2530-4
cd10 bone marrow,51216-0
marrow bone 10,51216-0
marrow bone cd10,51216-0
bone cd10 marrow,51216-0
bone cd10 marrow,51216-0
cd3 bone marrow,32529-0
cd3 marrow bone,32529-0
bone cd3 arrow,32529-0
d3 bone marrow,32529-0
cd3 bon mrrow,32529-0
"anti-gliadin antibody, iga blood",7893-1
"anti-gliadin iga antibody, blood",7893-1
"anti-gliadin blood qnt iga antibody,",7893-1
"antby anti-gliadin antibody, iga blood",7893-1
"anti-glidin iga antibody, blood",7893-1
"hepatitis b core antibody, igm blood",31204-1
"blood random b core antibody, igm heatiti",31204-1
"hepatitis b core antibody, igm bld",31204-1
"hepatitis b ore antibody, igm blod",31204-1
"hepatitis b core antibody, igm blood serum",31204-1
metamyelocytes cerebrospinal fluid (csf),30366-9
cerebrosnal metamyeloytes leuk flud (cerebrospinal fluid),30366-9
metamyelocytes (csf) fluid cerebrospinal,30366-9
metamyelocytes (csf) fluid white blood cell cerebrospinal,30366-9
