source_text,target_loinc
hyaline casts urine,5796-8
hyalin casts urine,5796-8
hyaline urine casts,5796-8
yaline casts uine,5796-8
hyaline urine casts,5796-8
cd22 other body fluid,42875-5
other cd22 body fluid,42875-5
ody other cd22 fluid,42875-5
cd22 other fluid body,42875-5
cd22 other fluid bdy,42875-5
schistocytes blood,800-3
bld ql schistocytes,800-3
blood blood schistocytes,800-3
blood schistocytes,800-3
blood schistocytes,800-3
plasma other body fluid,17803-8
body othr lasma fluid,17803-8
plasma bf other body fluid,17803-8
plas flud otherbod,17803-8
plasma other body plasmacytes fluid,17803-8
cd5 other body fluid,57423-6
cd5 bodyfluid othr,57423-6
cd5 other bdyfluid,57423-6
cd5 other fluid body,57423-6
cd5 other body flid,57423-6
"urea nitrogen, ascites ascites",12265-5
"ure point in time nitrogen, asciesastes",12265-5
"ea ascites ascitis nitrogen, ascies",12265-5
"urea nitrogen, ascites ascites blood urea nitrogen",12265-5
"urea nitrogen, ascites ascites",12265-5
blood parasite smear blood,24429-3
parasite bld smear bld,24429-3
lood parasite blood infectious disease smar,24429-3
wb smear araite bld bld,24429-3
bld parasite smear bld identity or presence,24429-3
transferrin blood,2500-7
blood transferrin,2500-7
blood transferrin,2500-7
tanfrrin blood chemistry,2500-7
tranferrin blood plasma,2500-7
hemoglobin f blood,9749-3
f hemoglobin blood pt,9749-3
bood f quantitative hemolobin,9749-3
hemoglobin f elp bld,9749-3
hemoglobinfblood,9749-3
non-squamous epithelial cells urine,41284-1
epithelial non-squamous cells urine,41284-1
non-squamous cells epithelial urine,41284-1
non-squamous epithelial urine cells,41284-1
non-squamous cells epithelial urine,41284-1
"calcium, body fluid other body fluid",15155-5
"calcium, body chemistry fluid other body fluid",15155-5
"calcium, body fluid other body chemistry fluid",15155-5
"fuid boy calcium, other body fluid",15155-5
"calcium, fluid body other body fluid",15155-5
cd41 blood,17148-8
blood cd41,17148-8
blood cd41,17148-8
blood cd41,17148-8
blood cd41,17148-8
oxygen blood,19994-3
blood oxygen,19994-3
blood oxygen,19994-3
oxgen blood,19994-3
blood oxyen,19994-3
"glucose, body fluid other body fluid",2344-0
"gluose, ody body oher fui fluid",2344-0
"chemistry glucose, oy flui other by fluid",2344-0
"glucose, body body other fluid fluid fl",2344-0
"glucose, body fluid other body fluid level",2344-0
"bicarbonate, ascites ascites",54360-3
"bicarbnate, ascites sites quantitative",54360-3
"bicarbonae, ascits ascite",54360-3
"bicarbonate, ascites ascites quantitative",54360-3
"qnt ascites ascites bicarbonate,",54360-3
hepatitis b virus core antibody blood,5187-0
hepatitis b virus core antibody bld liver,5187-0
blood b virus core antibody microbiology hepatitis,5187-0
hepatitis b virus enzyme immunoassay core antibody blood,5187-0
hepatitis b virus ore antibody blood,5187-0
neutrophils blood,761-7
neutrophil bood,761-7
blood netrophils,761-7
