source_text,true_loinc,true_text,pred_loinc,pred_text,pred_score,true_target_rank,is_correct,top_5_loincs,top_5_scores,error_category,source_length,source_word_count
hemoglobin blood,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.1633277,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1633,-0.2191,-0.2905,-0.3722,-0.4649",,16,2
hgb serum,718-7,Hemoglobin [Mass/volume] in Blood,10004-0,Hemoglobin F/Hemoglobin.total in Blood by Electrophoresis,-0.31988025,2,False,"10004-0,718-7,10003-2,777-3,6690-2","-0.3199,-0.3343,-0.3611,-0.4334,-0.4512",AMBIGUOUS_SOURCE,9,2
hgb,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.15500718,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1550,-0.1709,-0.1880,-0.3560,-0.4030",,3,1
hemoglobin,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.13989055,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1399,-0.2234,-0.3186,-0.3829,-0.4385",,10,1
potassium serum,2823-3,Potassium [Moles/volume] in Serum,2823-3,Potassium [Moles/volume] in Serum,-0.2628426,1,True,"2823-3,10175-1,10000-8,10075-2,10266-1","-0.2628,-0.5796,-0.5830,-0.6025,-0.6108",,15,2
potassium plasma,2823-3,Potassium [Moles/volume] in Serum,2823-3,Potassium [Moles/volume] in Serum,-0.5310088,1,True,"2823-3,10007-3,10000-6,10107-2,10020-2","-0.5310,-0.6161,-0.6594,-0.6743,-0.6745",,16,2
k,2823-3,Potassium [Moles/volume] in Serum,10001-6,Lead [Mass/volume] in Urine,-0.43619114,4,False,"10001-6,10002-4,10009-9,2823-3,2951-2","-0.4362,-0.4401,-0.6564,-0.8265,-0.8405",SPECIMEN_MISMATCH,1,1
k+,2823-3,Potassium [Moles/volume] in Serum,10002-4,Lead [Moles/volume] in Urine,-0.4604959,3,False,"10002-4,10001-6,2823-3,10009-9,2951-2","-0.4605,-0.4630,-0.6781,-0.7180,-0.7534",SPECIMEN_MISMATCH,2,1
wbc count,6690-2,Leukocytes [#/volume] in Blood by Automated count,6690-2,Leukocytes [#/volume] in Blood by Automated count,-0.33338326,1,True,"6690-2,718-7,777-3,10004-0,10003-2","-0.3334,-0.4407,-0.4521,-0.4562,-0.5350",,9,2
white blood cell count,6690-2,Leukocytes [#/volume] in Blood by Automated count,6690-2,Leukocytes [#/volume] in Blood by Automated count,-0.43709946,1,True,"6690-2,718-7,777-3,10004-0,10003-2","-0.4371,-0.5263,-0.5358,-0.5714,-0.6691",,22,4
leukocytes,6690-2,Leukocytes [#/volume] in Blood by Automated count,10002-4,Lead [Moles/volume] in Urine,-0.44568008,3,False,"10002-4,10001-6,6690-2,10009-9,10004-0","-0.4457,-0.4530,-0.5390,-0.6945,-0.7354",SPECIMEN_MISMATCH,10,1
white count,6690-2,Leukocytes [#/volume] in Blood by Automated count,10248-4,Synthetic LOINC code 10248-4,-0.65873647,-1,False,"10248-4,10161-4,10244-2,10237-4,10016-4","-0.6587,-0.6745,-0.6852,-0.6931,-0.6952",COMPLETELY_DIFFERENT,11,2
plt,777-3,Platelets [#/volume] in Blood by Automated count,10001-6,Lead [Mass/volume] in Urine,-0.45646143,-1,False,"10001-6,10002-4,10009-9,10008-1,10257-7","-0.4565,-0.4701,-0.6914,-0.6979,-0.7103",SPECIMEN_MISMATCH,3,1
platelet count,777-3,Platelets [#/volume] in Blood by Automated count,777-3,Platelets [#/volume] in Blood by Automated count,-0.16684961,1,True,"777-3,6690-2,718-7,10004-0,10003-2","-0.1668,-0.2322,-0.3008,-0.4280,-0.4586",,14,2
thrombocytes,777-3,Platelets [#/volume] in Blood by Automated count,718-7,Hemoglobin [Mass/volume] in Blood,-0.33002323,3,False,"718-7,6690-2,777-3,10004-0,10003-2","-0.3300,-0.3752,-0.4127,-0.4153,-0.5104",AMBIGUOUS_SOURCE,12,1
platelets,777-3,Platelets [#/volume] in Blood by Automated count,777-3,Platelets [#/volume] in Blood by Automated count,-0.42198253,1,True,"777-3,6690-2,718-7,10004-0,10003-2","-0.4220,-0.4242,-0.4475,-0.5658,-0.6523",,9,1
sodium,2951-2,Sodium [Moles/volume] in Serum,2951-2,Sodium [Moles/volume] in Serum,-0.25843096,1,True,"2951-2,2951-2 ,10002-4,10001-6,10223-7","-0.2584,-0.2584,-0.4861,-0.4864,-0.6680",,6,1
na,2951-2,Sodium [Moles/volume] in Serum,10002-4,Lead [Moles/volume] in Urine,-0.4890113,3,False,"10002-4,10001-6,2951-2,2951-2 ,10009-9","-0.4890,-0.5155,-0.6677,-0.6677,-0.7308",SPECIMEN_MISMATCH,2,1
sodium level,2951-2,Sodium [Moles/volume] in Serum,2951-2 ,Sodium [Moles/volume] in Serum,-0.21112919,2,False,"2951-2 ,2951-2,10001-6,10002-4,2823-3","-0.2111,-0.2111,-0.5169,-0.5299,-0.7145",SIMILAR_DESCRIPTION,12,2
na serum,2951-2 ,Sodium [Moles/volume] in Serum,2951-2,Sodium [Moles/volume] in Serum,-0.36104858,2,False,"2951-2,2951-2 ,2823-3,10008-1,10223-7","-0.3610,-0.3610,-0.4545,-0.4835,-0.6315",SIMILAR_DESCRIPTION,8,2
