source_text,true_loinc,true_text,pred_loinc,pred_text,pred_score,true_target_rank,is_correct,top_5_loincs,top_5_scores,error_category,source_length,source_word_count
hemoglobin blood,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.17761123,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1776,-0.2528,-0.3380,-0.4579,-0.5489",,16,2
hgb serum,718-7,Hemoglobin [Mass/volume] in Blood,10004-0,Hemoglobin F/Hemoglobin.total in Blood by Electrophoresis,-0.37680423,2,False,"10004-0,718-7,10003-2,777-3,6690-2","-0.3768,-0.3911,-0.4167,-0.5303,-0.5654",AMBIGUOUS_SOURCE,9,2
hgb,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.17824435,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1782,-0.2008,-0.2152,-0.4391,-0.4718",,3,1
hemoglobin,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.15219295,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1522,-0.2586,-0.3691,-0.4728,-0.5198",,10,1
potassium serum,2823-3,Potassium [Moles/volume] in Serum,2823-3,Potassium [Moles/volume] in Serum,-0.2331689,1,True,"2823-3,10075-2,10175-1,10000-8,10266-1","-0.2332,-0.5693,-0.5706,-0.5837,-0.5865",,15,2
potassium plasma,2823-3,Potassium [Moles/volume] in Serum,2823-3,Potassium [Moles/volume] in Serum,-0.45731252,1,True,"2823-3,10007-3,10000-6,10107-2,10020-2","-0.4573,-0.5367,-0.6038,-0.6073,-0.6140",,16,2
k,2823-3,Potassium [Moles/volume] in Serum,10002-4,Lead [Moles/volume] in Urine,-0.4194045,4,False,"10002-4,10001-6,10009-9,2823-3,2951-2","-0.4194,-0.4195,-0.6031,-0.6966,-0.7087",SPECIMEN_MISMATCH,1,1
k+,2823-3,Potassium [Moles/volume] in Serum,10002-4,Lead [Moles/volume] in Urine,-0.43364936,3,False,"10002-4,10001-6,2823-3,10009-9,2951-2","-0.4336,-0.4384,-0.6070,-0.6731,-0.6788",SPECIMEN_MISMATCH,2,1
wbc count,6690-2,Leukocytes [#/volume] in Blood by Automated count,6690-2,Leukocytes [#/volume] in Blood by Automated count,-0.3527404,1,True,"6690-2,777-3,718-7,10004-0,10003-2","-0.3527,-0.4936,-0.5145,-0.5240,-0.6197",,9,2
white blood cell count,6690-2,Leukocytes [#/volume] in Blood by Automated count,6690-2,Leukocytes [#/volume] in Blood by Automated count,-0.44854808,1,True,"6690-2,777-3,718-7,10004-0,10003-2","-0.4485,-0.5738,-0.6002,-0.6433,-0.7654",,22,4
leukocytes,6690-2,Leukocytes [#/volume] in Blood by Automated count,10002-4,Lead [Moles/volume] in Urine,-0.41076905,3,False,"10002-4,10001-6,6690-2,10009-9,718-7","-0.4108,-0.4170,-0.5402,-0.6515,-0.7922",SPECIMEN_MISMATCH,10,1
white count,6690-2,Leukocytes [#/volume] in Blood by Automated count,10248-4,Synthetic LOINC code 10248-4,-0.61097336,-1,False,"10248-4,10161-4,10244-2,10237-4,10234-2","-0.6110,-0.6314,-0.6335,-0.6414,-0.6447",COMPLETELY_DIFFERENT,11,2
plt,777-3,Platelets [#/volume] in Blood by Automated count,10001-6,Lead [Mass/volume] in Urine,-0.44449276,-1,False,"10001-6,10002-4,10257-7,10318-7,10220-7","-0.4445,-0.4574,-0.6262,-0.6293,-0.6314",SPECIMEN_MISMATCH,3,1
platelet count,777-3,Platelets [#/volume] in Blood by Automated count,777-3,Platelets [#/volume] in Blood by Automated count,-0.19170314,1,True,"777-3,6690-2,718-7,10004-0,10003-2","-0.1917,-0.2702,-0.3779,-0.5164,-0.5562",,14,2
thrombocytes,777-3,Platelets [#/volume] in Blood by Automated count,718-7,Hemoglobin [Mass/volume] in Blood,-0.38724136,3,False,"718-7,6690-2,777-3,10004-0,10003-2","-0.3872,-0.4366,-0.4725,-0.4852,-0.5950",AMBIGUOUS_SOURCE,12,1
platelets,777-3,Platelets [#/volume] in Blood by Automated count,777-3,Platelets [#/volume] in Blood by Automated count,-0.46924376,1,True,"777-3,6690-2,718-7,10004-0,10130-0","-0.4692,-0.4821,-0.5228,-0.6575,-0.6793",,9,1
sodium,2951-2,Sodium [Moles/volume] in Serum,2951-2 ,Sodium [Moles/volume] in Serum,-0.221116,2,False,"2951-2 ,2951-2,10002-4,10001-6,10223-7","-0.2211,-0.2211,-0.4615,-0.4626,-0.5987",SIMILAR_DESCRIPTION,6,1
na,2951-2,Sodium [Moles/volume] in Serum,10002-4,Lead [Moles/volume] in Urine,-0.46697688,4,False,"10002-4,10001-6,2951-2 ,2951-2,10009-9","-0.4670,-0.4966,-0.5329,-0.5329,-0.6719",SPECIMEN_MISMATCH,2,1
sodium level,2951-2,Sodium [Moles/volume] in Serum,2951-2,Sodium [Moles/volume] in Serum,-0.19205278,1,True,"2951-2,2951-2 ,10001-6,10002-4,2823-3","-0.1921,-0.1921,-0.4852,-0.4969,-0.6509",,12,2
na serum,2951-2 ,Sodium [Moles/volume] in Serum,2951-2 ,Sodium [Moles/volume] in Serum,-0.30048174,1,True,"2951-2 ,2951-2,2823-3,10008-1,10223-7","-0.3005,-0.3005,-0.4037,-0.4608,-0.5700",,8,2
