source_text,true_loinc,true_text,pred_loinc,pred_text,pred_score,true_target_rank,is_correct,top_5_loincs,top_5_scores,error_category,source_length,source_word_count
hemoglobin blood,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.16191119,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1619,-0.2269,-0.3091,-0.3841,-0.4830",,16,2
hgb serum,718-7,Hemoglobin [Mass/volume] in Blood,10004-0,Hemoglobin F/Hemoglobin.total in Blood by Electrophoresis,-0.34112656,2,False,"10004-0,718-7,10003-2,777-3,6690-2","-0.3411,-0.3576,-0.3849,-0.4910,-0.5007",AMBIGUOUS_SOURCE,9,2
hgb,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.15953988,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1595,-0.1820,-0.1988,-0.3903,-0.4331",,3,1
hemoglobin,718-7,Hemoglobin [Mass/volume] in Blood,718-7,Hemoglobin [Mass/volume] in Blood,-0.14024282,1,True,"718-7,10004-0,10003-2,6690-2,777-3","-0.1402,-0.2328,-0.3384,-0.3962,-0.4559",,10,1
potassium serum,2823-3,Potassium [Moles/volume] in Serum,2823-3,Potassium [Moles/volume] in Serum,-0.24747753,1,True,"2823-3,10175-1,10075-2,10000-8,10266-1","-0.2475,-0.5761,-0.5921,-0.5932,-0.6016",,15,2
potassium plasma,2823-3,Potassium [Moles/volume] in Serum,2823-3,Potassium [Moles/volume] in Serum,-0.49179727,1,True,"2823-3,10007-3,10000-6,10020-2,10107-2","-0.4918,-0.6126,-0.6245,-0.6431,-0.6448",,16,2
k,2823-3,Potassium [Moles/volume] in Serum,10002-4,Lead [Moles/volume] in Urine,-0.40792948,4,False,"10002-4,10001-6,10009-9,2823-3,2951-2 ","-0.4079,-0.4089,-0.5884,-0.6872,-0.7097",SPECIMEN_MISMATCH,1,1
k+,2823-3,Potassium [Moles/volume] in Serum,10002-4,Lead [Moles/volume] in Urine,-0.4222734,3,False,"10002-4,10001-6,2823-3,10009-9,2951-2","-0.4223,-0.4283,-0.5892,-0.6555,-0.6812",SPECIMEN_MISMATCH,2,1
wbc count,6690-2,Leukocytes [#/volume] in Blood by Automated count,6690-2,Leukocytes [#/volume] in Blood by Automated count,-0.3359977,1,True,"6690-2,777-3,718-7,10004-0,10003-2","-0.3360,-0.4570,-0.4584,-0.4763,-0.5690",,9,2
white blood cell count,6690-2,Leukocytes [#/volume] in Blood by Automated count,6690-2,Leukocytes [#/volume] in Blood by Automated count,-0.43737376,1,True,"6690-2,777-3,718-7,10004-0,10003-2","-0.4374,-0.5454,-0.5582,-0.6031,-0.7193",,22,4
leukocytes,6690-2,Leukocytes [#/volume] in Blood by Automated count,10002-4,Lead [Moles/volume] in Urine,-0.4021489,3,False,"10002-4,10001-6,6690-2,10009-9,718-7","-0.4021,-0.4092,-0.5015,-0.6380,-0.7342",SPECIMEN_MISMATCH,10,1
white count,6690-2,Leukocytes [#/volume] in Blood by Automated count,10248-4,Synthetic LOINC code 10248-4,-0.6093329,-1,False,"10248-4,10161-4,10244-2,10237-4,10234-2","-0.6093,-0.6352,-0.6352,-0.6405,-0.6466",COMPLETELY_DIFFERENT,11,2
plt,777-3,Platelets [#/volume] in Blood by Automated count,10001-6,Lead [Mass/volume] in Urine,-0.4461348,-1,False,"10001-6,10002-4,10257-7,10318-7,10220-7","-0.4461,-0.4598,-0.6222,-0.6259,-0.6318",SPECIMEN_MISMATCH,3,1
platelet count,777-3,Platelets [#/volume] in Blood by Automated count,777-3,Platelets [#/volume] in Blood by Automated count,-0.16563731,1,True,"777-3,6690-2,718-7,10004-0,10003-2","-0.1656,-0.2397,-0.3458,-0.4738,-0.5116",,14,2
thrombocytes,777-3,Platelets [#/volume] in Blood by Automated count,718-7,Hemoglobin [Mass/volume] in Blood,-0.3611611,3,False,"718-7,6690-2,777-3,10004-0,10003-2","-0.3612,-0.3894,-0.4309,-0.4486,-0.5503",AMBIGUOUS_SOURCE,12,1
platelets,777-3,Platelets [#/volume] in Blood by Automated count,777-3,Platelets [#/volume] in Blood by Automated count,-0.40108252,1,True,"777-3,6690-2,718-7,10004-0,10371-3","-0.4011,-0.4082,-0.4765,-0.5976,-0.6582",,9,1
sodium,2951-2,Sodium [Moles/volume] in Serum,2951-2 ,Sodium [Moles/volume] in Serum,-0.20708841,2,False,"2951-2 ,2951-2,10002-4,10001-6,10223-7","-0.2071,-0.2071,-0.4441,-0.4490,-0.6075",SIMILAR_DESCRIPTION,6,1
na,2951-2,Sodium [Moles/volume] in Serum,10002-4,Lead [Moles/volume] in Urine,-0.44978893,3,False,"10002-4,10001-6,2951-2,2951-2 ,10009-9","-0.4498,-0.4808,-0.4952,-0.4952,-0.6498",SPECIMEN_MISMATCH,2,1
sodium level,2951-2,Sodium [Moles/volume] in Serum,2951-2 ,Sodium [Moles/volume] in Serum,-0.17705798,2,False,"2951-2 ,2951-2,10001-6,10002-4,2823-3","-0.1771,-0.1771,-0.4703,-0.4780,-0.6584",SIMILAR_DESCRIPTION,12,2
na serum,2951-2 ,Sodium [Moles/volume] in Serum,2951-2 ,Sodium [Moles/volume] in Serum,-0.30641162,1,True,"2951-2 ,2951-2,2823-3,10008-1,10223-7","-0.3064,-0.3064,-0.4276,-0.4874,-0.5781",,8,2
